DREIDING 
ATOMTYPE: a b c
 H_      7.17   6.24   -0.56  
 H___b   7.17   6.24   -0.56  
 H___A   7.17   6.24   -0.56  
 H__HB   7.17   6.24   -0.56  
 H__HA   7.17   6.24   -0.56  
 C_3     7.98   9.18    1.88   
 C_2     8.79   9.32    1.51   
 C_R     8.79   9.32    1.51   
 C_1    10.39   9.45    0.73   
 N_3    11.54  10.82    1.36   
 N_2    12.87  11.15    0.85    
 N_R    12.87  11.15    0.85   
 N_1    15.68  11.7    -0.27   
 O_3    14.18  12.92    1.39   
 O_2    17.07  13.79    0.47   
 O_R    17.07  13.79    0.47   
 O_1    17.07  13.79    0.47   
 F_     14.66  13.85    2.31   
 Cl    11.00   9.69    1.35   
 Br    10.08   8.47    1.16  
 I_      9.90   7.96    0.96   
 S_3    10.14   9.13    1.38   
END
PCFF 
ATOMTYPE: a b c
 h       7.17   6.24   -0.56  
 hc      7.17   6.24   -0.56  
 c       7.98   9.18    1.88   
 c3      7.98   9.18    1.88   
 c2      8.79   9.32    1.51   
 cp      8.79   9.32    1.51   
 c_1    10.39   9.45    0.73   
 n      11.54  10.82    1.36   
 n3     11.54  10.82    1.36   
 n2     12.87  11.15    0.85    
 np     12.87  11.15    0.85   
 n_1    15.68  11.7    -0.27   
 o      17.07  13.79    0.47  
 o_2    14.18  12.92    1.39
 f     14.66  13.85    2.31   
 cl    11.00   9.69    1.35   
 br    10.08   8.47    1.16  
 i      9.90   7.96    0.96   
 s     10.14   9.13    1.38    
END
